"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\container_plugins\sequence\__init__.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 79, 351
"c:\JoystickGremlin-develop\container_plugins\smart_toggle\__init__.py", "Python", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 59, 293
"c:\JoystickGremlin-develop\container_plugins\switch\__init__.py", "Python", 486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 159, 688
"c:\JoystickGremlin-develop\container_plugins\tempoEx\__init__.py", "Python", 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 143, 670
"c:\JoystickGremlin-develop\container_plugins\tempo\__init__.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 73, 404
"c:\JoystickGremlin-develop\container_plugins\tick\__init__.py", "Python", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 101, 454
"c:\JoystickGremlin-develop\dark_manage_modes.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\deploy.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\JoystickGremlin-develop\dinput\__init__.py", "Python", 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 176, 886
"c:\JoystickGremlin-develop\examples\ch stick and pedals\empty.xml", "XML", 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 367
"c:\JoystickGremlin-develop\examples\ch stick and pedals\jkb.xml", "XML", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 64, 41, 355
"c:\JoystickGremlin-develop\examples\ch stick and pedals\profile.xml", "XML", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"c:\JoystickGremlin-develop\examples\ch stick and pedals\sc.py", "Python", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45, 190
"c:\JoystickGremlin-develop\generate_wix.py", "Python", 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 70, 481
"c:\JoystickGremlin-develop\gfx\about.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\activate.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\activate_on.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\button_copy.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\JoystickGremlin-develop\gfx\button_paste.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\JoystickGremlin-develop\gfx\calibration.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\curve_grid_ex.svg", "XML", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 169
"c:\JoystickGremlin-develop\gfx\dark_about.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_activate.svg", "XML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18
"c:\JoystickGremlin-develop\gfx\dark_activate_on.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_button_copy.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\JoystickGremlin-develop\gfx\dark_button_paste.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
