Date : 2026-03-04 14:37:32
Directory : c:\JoystickGremlin-develop
Total : 277 files,  56043 codes, 16340 comments, 21658 blanks, all 94041 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.vi.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.zh.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\tinyseg.js                         | JavaScript       |        176 |         21 |          9 |        206 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\wordcut.js                         | JavaScript       |      4,882 |        915 |        911 |      6,708 |
| c:\JoystickGremlin-develop\site\assets\javascripts\workers\search.f8cc74c7.min.js          | JavaScript       |         38 |          3 |          2 |         43 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\glightbox.min.css                       | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\main.2afb09e1.min.css                   | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\palette.06af60db.min.css                | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\warning.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\containers\index.html                                      | HTML             |        497 |          0 |        498 |        995 |
| c:\JoystickGremlin-develop\site\credits\index.html                                         | HTML             |        283 |          0 |        445 |        728 |
| c:\JoystickGremlin-develop\site\index.html                                                 | HTML             |        571 |          0 |        525 |      1,096 |
| c:\JoystickGremlin-develop\site\ktts\index.html                                            | HTML             |        448 |          0 |        479 |        927 |
| c:\JoystickGremlin-develop\site\overview\index.html                                        | HTML             |      1,588 |          0 |        694 |      2,282 |
| c:\JoystickGremlin-develop\site\resources\index.html                                       | HTML             |        477 |          0 |        506 |        983 |
| c:\JoystickGremlin-develop\site\scripting\index.html                                       | HTML             |        552 |          0 |        525 |      1,077 |
| c:\JoystickGremlin-develop\site\search\search_index.json                                   | JSON             |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\sitemap.xml                                                | XML              |         39 |          0 |          0 |         39 |
| c:\JoystickGremlin-develop\site\usage\index.html                                           | HTML             |      5,367 |          0 |      1,394 |      6,761 |
| c:\JoystickGremlin-develop\test\test_action_condition.py                                   | Python           |       -113 |        -18 |        -26 |       -157 |
| c:\JoystickGremlin-develop\test\test_action_description.py                                 | Python           |        -22 |        -59 |        -14 |        -95 |
| c:\JoystickGremlin-develop\test\test_action_remap.py                                       | Python           |       -123 |        -15 |        -21 |       -159 |
| c:\JoystickGremlin-develop\test\test_action_tempo.py                                       | Python           |        -65 |        -15 |        -17 |        -97 |
| c:\JoystickGremlin-develop\test\test_config.py                                             | Python           |        -71 |        -15 |        -25 |       -111 |
| c:\JoystickGremlin-develop\test\test_profile.py                                            | Python           |       -223 |        -17 |        -43 |       -283 |
| c:\JoystickGremlin-develop\test\test_tree.py                                               | Python           |       -223 |        -15 |        -52 |       -290 |
| c:\JoystickGremlin-develop\test\test_util.py                                               | Python           |       -115 |        -15 |        -18 |       -148 |
| c:\JoystickGremlin-develop\test\test_vjoy_remap.py                                         | Python           |          4 |          0 |          5 |          9 |
| c:\JoystickGremlin-develop\test\x_test_action_condition.py                                 | Python           |        112 |         18 |         26 |        156 |
| c:\JoystickGremlin-develop\test\x_test_action_description.py                               | Python           |         22 |         59 |         14 |         95 |
| c:\JoystickGremlin-develop\test\x_test_action_remap.py                                     | Python           |        123 |         15 |         21 |        159 |
| c:\JoystickGremlin-develop\test\x_test_action_tempo.py                                     | Python           |         65 |         15 |         17 |         97 |
| c:\JoystickGremlin-develop\test\x_test_config.py                                           | Python           |         71 |         15 |         25 |        111 |
| c:\JoystickGremlin-develop\test\x_test_profile.py                                          | Python           |        222 |         25 |         36 |        283 |
| c:\JoystickGremlin-develop\test\x_test_tree.py                                             | Python           |        223 |         15 |         52 |        290 |
| c:\JoystickGremlin-develop\test\x_test_util.py                                             | Python           |        115 |         15 |         18 |        148 |
| c:\JoystickGremlin-develop\vigem\vigem_client.py                                           | Python           |       -163 |        166 |         -1 |          2 |
| c:\JoystickGremlin-develop\vigem\vigem_commons.py                                          | Python           |        -37 |         37 |          0 |          0 |
| c:\JoystickGremlin-develop\vigem\vigem_gamepad.py                                          | Python           |       -208 |        246 |        -38 |          0 |
| c:\JoystickGremlin-develop\vjoy\vjoy.py                                                    | Python           |       -103 |        271 |          6 |        174 |
| c:\JoystickGremlin-develop\vjoy\vjoy_interface.py                                          | Python           |          3 |        -14 |          0 |        -11 |
| Total                                                                                      |                  |     56,043 |     16,340 |     21,658 |     94,041 |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
