"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\action_plugins\resume\__init__.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, -1, 9
"c:\JoystickGremlin-develop\action_plugins\run_process\__init__.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, -1, 27
"c:\JoystickGremlin-develop\action_plugins\split_axis\__init__.py", "Python", 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 28, -5, 5
"c:\JoystickGremlin-develop\action_plugins\switch_mode\__init__.py", "Python", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 18, 43, 152
"c:\JoystickGremlin-develop\action_plugins\system\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -210, -80, -290
"c:\JoystickGremlin-develop\action_plugins\temporary_mode_switch\__init__.py", "Python", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 44, 154
"c:\JoystickGremlin-develop\action_plugins\text_to_speech\__init__.py", "Python", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, -4, 25, 128
"c:\JoystickGremlin-develop\action_plugins\toggle_pause\__init__.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 1, 12
"c:\JoystickGremlin-develop\build_docs.bat", "Batch", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\JoystickGremlin-develop\container_plugins\basic\__init__.py", "Python", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 45, 7, 41
"c:\JoystickGremlin-develop\container_plugins\button\__init__.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 57, 28, 130
"c:\JoystickGremlin-develop\container_plugins\chain\__init__.py", "Python", 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 46, -3, 25
"c:\JoystickGremlin-develop\container_plugins\double_tap\__init__.py", "Python", 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 69, -4, 31
"c:\JoystickGremlin-develop\container_plugins\hat_buttons\__init__.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 88, 52, 172
"c:\JoystickGremlin-develop\container_plugins\range\__init__.py", "Python", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 38, -14, 5
"c:\JoystickGremlin-develop\container_plugins\repeat\__init__.py", "Python", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 77, 122, 516
"c:\JoystickGremlin-develop\container_plugins\sequence\__init__.py", "Python", 0, 0, 826, 0, 0, 0, 0, 0, 0, 0, 92, 296, 1214
"c:\JoystickGremlin-develop\container_plugins\smart_toggle\__init__.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 57, 18, 115
"c:\JoystickGremlin-develop\container_plugins\state\__init__.py", "Python", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 79, 84, 413
