"filename", "language", "YAML", "Dotenv", "Python", "XML", "Markdown", "pip requirements", "HTML", "JavaScript", "Batch", "JSON", "Log", "PostCSS", "Ini", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gremlin\ui\theme.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\JoystickGremlin-develop\gremlin\ui\ui_about.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 88
"c:\JoystickGremlin-develop\gremlin\ui\ui_activation_condition.py", "Python", 0, 0, 1080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 419, 1706
"c:\JoystickGremlin-develop\gremlin\ui\ui_common.py", "Python", 0, 0, 9690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1672, 3132, 14494
"c:\JoystickGremlin-develop\gremlin\ui\ui_gremlin.py", "Python", 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 87, 449
"c:\JoystickGremlin-develop\gremlin\ui\ui_labeled.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 606, 140, 746
"c:\JoystickGremlin-develop\gremlin\ui\ui_util.py", "Python", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 41, 267
"c:\JoystickGremlin-develop\gremlin\ui\user_plugin_management.py", "Python", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 132, 582
"c:\JoystickGremlin-develop\gremlin\ui\virpil_device.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 36, 200
"c:\JoystickGremlin-develop\gremlin\ui\virtual_button.py", "Python", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 72, 351
"c:\JoystickGremlin-develop\gremlin\ui\virtual_keyboard.py", "Python", 0, 0, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 284, 1376
"c:\JoystickGremlin-develop\gremlin\user_plugin.py", "Python", 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 155, 852
"c:\JoystickGremlin-develop\gremlin\util.py", "Python", 0, 0, 1881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 498, 2652
"c:\JoystickGremlin-develop\gremlin\version.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 31
"c:\JoystickGremlin-develop\gremlin\windows_event_hook.py", "Python", 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 155, 731
"c:\JoystickGremlin-develop\layout.xml", "XML", 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 247
"c:\JoystickGremlin-develop\logs\custom_widgets.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\JoystickGremlin-develop\mkdocs.yml", "YAML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\JoystickGremlin-develop\publish.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\JoystickGremlin-develop\qml\helpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\JoystickGremlin-develop\qml_notes.md", "Markdown", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 412
"c:\JoystickGremlin-develop\qt5reactor\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\JoystickGremlin-develop\qt5reactor\_version.py", "Python", 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 69, 521
"c:\JoystickGremlin-develop\qt5reactor\core.py", "Python", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 66, 465
"c:\JoystickGremlin-develop\qt5reactor\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JoystickGremlin-develop\qt5reactor\tests\test_core.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\JoystickGremlin-develop\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\JoystickGremlin-develop\resources.py", "Python", 0, 0, 15930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 9, 15996
"c:\JoystickGremlin-develop\scripts\configuration.py", "Python", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 56, 251
"c:\JoystickGremlin-develop\scripts\msfs.py", "Python", 0, 0, 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 156, 779
"c:\JoystickGremlin-develop\scripts\osc.py", "Python", 0, 0, 1028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 635, 350, 2013
"c:\JoystickGremlin-develop\scripts\sc.py", "Python", 0, 0, 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 219, 887
"c:\JoystickGremlin-develop\scripts\util.py", "Python", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 58, 266
"c:\JoystickGremlin-develop\simconnect_simvars.xml", "XML", 0, 0, 0, 4987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4988
"c:\JoystickGremlin-develop\site\404.html", "HTML", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 413, 669
"c:\JoystickGremlin-develop\site\actions\index.html", "HTML", 0, 0, 0, 0, 0, 0, 1785, 0, 0, 0, 0, 0, 0, 0, 682, 2467
"c:\JoystickGremlin-develop\site\assets\discord.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\bundle.c8b220af.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"c:\JoystickGremlin-develop\site\assets\javascripts\glightbox.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ar.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.da.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.de.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.du.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.el.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
